 t avg_prod_f avg_k_f avg_a_f avg_l_f avg_prod_ex avg_k_ex avg_a_ex avg_l_ex
  49.0000000   1.3852438  83.9700857 -21.2720573   2.5550411   1.0447895   9.9871636 -12.3854385   0.3776475
  50.0000000   1.3852583  83.9738177 -21.2502099   2.5548325   1.0448481   9.9893896 -12.3874505   0.3777272
  51.0000000   1.3852653  83.9763558 -21.2292216   2.5545905   1.0448456   9.9861640 -12.3969812   0.3775604
  52.0000000   1.3852737  83.9795551 -21.2090262   2.5543733   1.0448182   9.9830310 -12.4117233   0.3773623
  53.0000000   1.3852845  83.9837492 -21.1892658   2.5542002   1.0449017   9.9849710 -12.4183497   0.3774309
  54.0000000   1.3852875  83.9868144 -21.1700885   2.5539917   1.0449223   9.9845654 -12.4193049   0.3773641
  55.0000000   1.3852906  83.9902605 -21.1518738   2.5537991   1.0449452   9.9796699 -12.4334954   0.3772020
  56.0000000   1.3852907  83.9934506 -21.1339917   2.5536039   1.0449639   9.9763632 -12.4396011   0.3770706
  57.0000000   1.3852891  83.9963087 -21.1169021   2.5534044   1.0449488   9.9711502 -12.4579936   0.3768548
  58.0000000   1.3852886  84.0000632 -21.0999641   2.5532309   1.0449803   9.9707000 -12.4624136   0.3767972
  59.0000000   1.3852863  84.0031254 -21.0844049   2.5530495   1.0449641   9.9680571 -12.4791868   0.3766516
  60.0000000   1.3852852  84.0069568 -21.0688631   2.5528898   1.0449801   9.9674888 -12.4883994   0.3765946
  61.0000000   1.3852831  84.0111830 -21.0534485   2.5527395   1.0450232   9.9664529 -12.4932008   0.3765292
  62.0000000   1.3852788  84.0152218 -21.0386955   2.5525884   1.0450038   9.9709439 -12.5205653   0.3765290
  63.0000000   1.3852753  84.0193789 -21.0247185   2.5524465   1.0450477   9.9711536 -12.5279809   0.3765084
  64.0000000   1.3852694  84.0233800 -21.0112722   2.5523031   1.0450592   9.9716830 -12.5349894   0.3764791
  65.0000000   1.3852628  84.0270491 -20.9985765   2.5522666   1.0450509   9.9692533 -12.5466375   0.3763969
  66.0000000   1.3852571  84.0313512 -20.9859101   2.5521984   1.0466041  10.1949837 -12.1927472   0.3855715
  67.0000000   1.3853719  84.0752962 -20.9789269   2.5532992   1.0451351  10.3754532 -12.2124927   0.3923371
  68.0000000   1.3853648  84.0791515 -20.9678615   2.5531749   1.0451503  10.3751819 -12.2172802   0.3923020
  69.0000000   1.3853569  84.0830734 -20.9569885   2.5530535   1.0451637  10.3760402 -12.2198654   0.3923008
  70.0000000   1.3853491  84.0871409 -20.9465775   2.5529403   1.0451739  10.3798887 -12.2205021   0.3923874
  71.0000000   1.3853417  84.0912811 -20.9368608   2.5528338   1.0451977  10.3835112 -12.2187213   0.3925098
  72.0000000   1.3853332  84.0953998 -20.9276136   2.5527295   1.0451722  10.3873201 -12.2236439   0.3926079
  73.0000000   1.3853254  84.0994080 -20.9188545   2.5526281   1.0451854  10.3893368 -12.2261045   0.3926649
  74.0000000   1.3853169  84.1035004 -20.9103053   2.5525313   1.0451903  10.3909022 -12.2260878   0.3927088
  75.0000000   1.3853079  84.1074069 -20.9022704   2.5524307   1.0451951  10.3925087 -12.2274104   0.3927250
  76.0000000   1.3852990  84.1110902 -20.8949317   2.5523297   1.0451668  10.3991700 -12.2398518   0.3927992
  77.0000000   1.3852916  84.1149055 -20.8880166   2.5522352   1.0452157  10.4001999 -12.2419965   0.3928259
  78.0000000   1.3852821  84.1183291 -20.8816875   2.5521682   1.0471084  10.4450530 -12.1206543   0.3962792
  79.0000000   1.3852889  84.1376119 -20.8779297   2.5524654   1.0463609  10.4168549 -12.1942417   0.3944709
  80.0000000   1.3852798  84.1479167 -20.8731384   2.5525452   1.0461883  10.4119149 -12.2116089   0.3940794
  81.0000000   1.3852684  84.1561830 -20.8684866   2.5525842   1.0460313  10.4130399 -12.2172110   0.3940757
  82.0000000   1.3852552  84.1623212 -20.8642855   2.5525718   1.0459424  10.4122608 -12.2269813   0.3939562
  83.0000000   1.3852437  84.1682507 -20.8600141   2.5525568   1.0459080  10.4124780 -12.2289881   0.3939243
  84.0000000   1.3852314  84.1737013 -20.8559657   2.5525305   1.0458804  10.4122245 -12.2307254   0.3938760
  85.0000000   1.3852193  84.1787189 -20.8523240   2.5524940   1.0458538  10.4128900 -12.2333017   0.3938456
  86.0000000   1.3852077  84.1835107 -20.8489823   2.5524574   1.0458389  10.4120118 -12.2369742   0.3937962
  87.0000000   1.3851965  84.1879791 -20.8459951   2.5524076   1.0458423  10.4106089 -12.2381357   0.3937079
  88.0000000   1.3851859  84.1927739 -20.8430261   2.5523762   1.0458329  10.4116916 -12.2402189   0.3937016
  89.0000000   1.3851754  84.1973335 -20.8403292   2.5523414   1.0458350  10.4119804 -12.2402315   0.3936909
  90.0000000   1.3851645  84.2014967 -20.8380727   2.5523005   1.0458013  10.4136311 -12.2470730   0.3936688
  91.0000000   1.3851555  84.2058050 -20.8360047   2.5522675   1.0458211  10.4147845 -12.2463962   0.3936884
  92.0000000   1.3851455  84.2098570 -20.8341481   2.5522295   1.0458218  10.4149298 -12.2461635   0.3936748
  93.0000000   1.3851357  84.2138620 -20.8324898   2.5521927   1.0458111  10.4168288 -12.2490192   0.3936845
  94.0000000   1.3851267  84.2179097 -20.8310203   2.5521598   1.0458185  10.4182560 -12.2494279   0.3936982
  95.0000000   1.3851175  84.2217751 -20.8298555   2.5521251   1.0458268  10.4186694 -12.2487867   0.3936978
  96.0000000   1.3851082  84.2254107 -20.8290042   2.5520880   1.0458252  10.4192190 -12.2484364   0.3936917
  97.0000000   1.3850993  84.2291336 -20.8282174   2.5520535   1.0458311  10.4194924 -12.2475072   0.3936873
  98.0000000   1.3850905  84.2327706 -20.8276426   2.5520191   1.0458216  10.4212170 -12.2504179   0.3936949
  99.0000000   1.3850824  84.2364520 -20.8272566   2.5519868   1.0458355  10.4216987 -12.2499186   0.3936997
 100.0000000   1.3850740  84.2400180 -20.8270159   2.5519562   1.0458376  10.4219129 -12.2491565   0.3936927
 101.0000000   1.3850658  84.2435357 -20.8269290   2.5519277   1.0458405  10.4220878 -12.2482495   0.3936860
 102.0000000   1.3850578  84.2472575 -20.8267492   2.5519038   1.0458429  10.4222508 -12.2473592   0.3936789
 103.0000000   1.3850500  84.2509060 -20.8267875   2.5518809   1.0458454  10.4224275 -12.2464479   0.3936726
 104.0000000   1.3850424  84.2545250 -20.8269492   2.5518586   1.0458511  10.4221680 -12.2452434   0.3936618
 105.0000000   1.3850348  84.2582386 -20.8271115   2.5518394   1.0458505  10.4222509 -12.2442358   0.3936524
 106.0000000   1.3850276  84.2618148 -20.8275247   2.5518197   1.0458527  10.4224206 -12.2433533   0.3936464
 107.0000000   1.3850206  84.2655681 -20.8278994   2.5518040   1.0458552  10.4225648 -12.2424462   0.3936407
 108.0000000   1.3850138  84.2693495 -20.8282562   2.5517886   1.0458574  10.4226739 -12.2415655   0.3936341
 109.0000000   1.3850072  84.2731772 -20.8286016   2.5517778   1.0458605  10.4226786 -12.2403795   0.3936271
 110.0000000   1.3850007  84.2771368 -20.8289470   2.5517714   1.0458669  10.4231780 -12.2386079   0.3936368
 111.0000000   1.3849940  84.2809465 -20.8293913   2.5517623   1.0458655  10.4231060 -12.2379696   0.3936245
 112.0000000   1.3849876  84.2849870 -20.8296647   2.5517586   1.0458788  10.4215977 -12.2332282   0.3936021
 113.0000000   1.3849809  84.2890182 -20.8299033   2.5517559   1.0458726  10.4210119 -12.2312181   0.3935813
 114.0000000   1.3849747  84.2931240 -20.8304440   2.5517564   1.0458724  10.4207409 -12.2298057   0.3935687
 115.0000000   1.3849688  84.2973468 -20.8307421   2.5517588   1.0458721  10.4206691 -12.2288227   0.3935600
 116.0000000   1.3849632  84.3016791 -20.8309350   2.5517646   1.0458855  10.4190280 -12.2239506   0.3935357
 117.0000000   1.3849571  84.3060970 -20.8309717   2.5517724   1.0458751  10.4187215 -12.2220101   0.3935157
 118.0000000   1.3849518  84.3106899 -20.8310729   2.5517877   1.0458899  10.4168165 -12.2161454   0.3934892
 119.0000000   1.3849460  84.3152852 -20.8307918   2.5518294   1.0458765  10.4164096 -12.2146347   0.3934707
 120.0000000   1.3848169  84.3628683 -21.0760575   2.5517732   1.0458683  10.4358112 -12.2659701   0.3936901
