 t avg_prod_f avg_k_f avg_a_f avg_l_f avg_prod_ex avg_k_ex avg_a_ex avg_l_ex
  56.0000000   1.3720461  88.2218977 -12.9189136   2.6858776   1.0785845   3.4485091  -9.3292956   0.8853221
  57.0000000   1.3719784  88.2682150 -12.8874591   2.6862947   1.0785493   3.4451135  -9.3351261   0.8852020
  58.0000000   1.3719151  88.3128363 -12.8567553   2.6866872   1.0783932   3.4418998  -9.3386134   0.8850747
  59.0000000   1.3718515  88.3536660 -12.8266627   2.6870056   1.0782708   3.4407546  -9.3422214   0.8850197
  60.0000000   1.3717895  88.3915035 -12.7971959   2.6872728   1.0781935   3.4401754  -9.3438813   0.8849850
  61.0000000   1.3717294  88.4269165 -12.7690817   2.6875039   1.0781081   3.4403567  -9.3460204   0.8849684
  62.0000000   1.3716728  88.4609014 -12.7420057   2.6877168   1.0781928   3.4441073  -9.3484850   0.8851756
  63.0000000   1.3715963  88.5171199 -12.7188065   2.6884697   1.0780501   3.4480777  -9.3438946   0.8852964
  64.0000000   1.3715210  88.5721343 -12.6928108   2.6891807   1.0780511   3.4463283  -9.3399224   0.8852282
  65.0000000   1.3714483  88.6243375 -12.6681823   2.6898079   1.0779344   3.4438591  -9.3444427   0.8851398
  66.0000000   1.3713813  88.6740073 -12.6441120   2.6903953   1.0776909   3.4404753  -9.3482032   0.8850063
  67.0000000   1.3713148  88.7184840 -12.6211283   2.6908850   1.0775292   3.4394622  -9.3470714   0.8849565
  68.0000000   1.3712502  88.7592909 -12.5991828   2.6913071   1.0773831   3.4383757  -9.3489619   0.8849158
  69.0000000   1.3711886  88.7970868 -12.5778663   2.6916784   1.0772897   3.4391894  -9.3441162   0.8849190
  70.0000000   1.3711285  88.8318391 -12.5578229   2.6919975   1.0772036   3.4393739  -9.3437375   0.8849192
  71.0000000   1.3710717  88.8644119 -12.5385294   2.6922817   1.0771194   3.4391989  -9.3435165   0.8849093
  72.0000000   1.3710184  88.8954004 -12.5195374   2.6925383   1.0770633   3.4367845  -9.3454427   0.8848341
  73.0000000   1.3709735  88.9262277 -12.5013136   2.6928066   1.0770900   3.4393046  -9.3332436   0.8849022
  74.0000000   1.3709243  88.9540836 -12.4840576   2.6930216   1.0770691   3.4410357  -9.3267815   0.8849263
  75.0000000   1.3708773  88.9819391 -12.4660327   2.6932434   1.0771363   3.4420436  -9.3111082   0.8849582
  76.0000000   1.3708276  89.0023636 -12.4541993   2.6933235   1.0768790   3.4251280  -9.3602335   0.8844528
  77.0000000   1.3708270  89.0431530 -12.4329209   2.6938459   1.0774008   3.4543125  -9.2646227   0.8853147
  78.0000000   1.3707477  89.0545783 -12.4221835   2.6937618   1.0767600   3.4621778  -9.3120363   0.8851799
  79.0000000   1.3707596  89.0814370 -12.4154557   2.6939604   1.0785352   3.3670259  -9.3779066   0.8824269
  80.0000000   1.3707492  89.1270212 -12.3982031   2.6945991   1.0784252   3.3887408  -9.3218934   0.8830723
  81.0000000   1.3706826  89.1485818 -12.3863107   2.6947621   1.0779651   3.3821202  -9.3462672   0.8828709
  82.0000000   1.3706432  89.1721401 -12.3751752   2.6949768   1.0778724   3.3816228  -9.3465636   0.8828548
  83.0000000   1.3706074  89.1943824 -12.3646516   2.6951711   1.0778135   3.3817738  -9.3452690   0.8828617
  84.0000000   1.3705743  89.2152879 -12.3548520   2.6953452   1.0777666   3.3821351  -9.3433933   0.8828659
  85.0000000   1.3705439  89.2351301 -12.3457012   2.6955064   1.0777411   3.3823521  -9.3412002   0.8828686
  86.0000000   1.3705156  89.2540712 -12.3368420   2.6956551   1.0777377   3.3831374  -9.3361204   0.8828831
  87.0000000   1.3704886  89.2720235 -12.3286435   2.6957888   1.0777225   3.3835978  -9.3338298   0.8828898
  88.0000000   1.3704638  89.2892430 -12.3212519   2.6959149   1.0777152   3.3835025  -9.3315832   0.8828865
  89.0000000   1.3704405  89.3056163 -12.3141480   2.6960363   1.0777099   3.3829915  -9.3302963   0.8828744
  90.0000000   1.3704195  89.3214913 -12.3075955   2.6961564   1.0777117   3.3828877  -9.3279604   0.8828712
  91.0000000   1.3703997  89.3366865 -12.3015186   2.6962696   1.0777131   3.3833035  -9.3260003   0.8828703
