 t avg_prod_f avg_k_f avg_a_f avg_l_f avg_prod_ex avg_k_ex avg_a_ex avg_l_ex
  49.0000000   1.3702670  89.0099537 -13.9059648   2.7057061   1.0793953   3.4764878  -9.0450725   0.8876873
  50.0000000   1.3703705  89.0007394 -13.8919661   2.7056052   1.0797332   3.4694529  -9.0337757   0.8875014
  51.0000000   1.3704724  88.9708651 -13.8751619   2.7051458   1.0799170   3.4490599  -9.0917686   0.8868822
  52.0000000   1.3705845  88.9727104 -13.8631480   2.7053611   1.0772215   3.5181014  -9.0255441   0.8888173
  53.0000000   1.3706229  88.9348962 -13.8465537   2.7045581   1.0784583   3.4556890  -9.0840065   0.8867006
  54.0000000   1.3706768  88.9119334 -13.8336804   2.7041498   1.0793506   3.4426696  -9.1028571   0.8867104
  55.0000000   1.3707549  88.8844983 -13.8137945   2.7035642   1.0793128   3.3756136  -9.1607211   0.8844452
  56.0000000   1.3708234  88.8549065 -13.7957468   2.7030267   1.0809688   3.3419944  -9.2092650   0.8836529
  57.0000000   1.3709233  88.8521162 -13.7772856   2.7030842   1.0808131   3.3779529  -9.1595313   0.8848976
  58.0000000   1.3709476  88.8530621 -13.7614103   2.7031046   1.0807841   3.3657466  -9.1850594   0.8846069
  59.0000000   1.3709745  88.8548921 -13.7463244   2.7031685   1.0800005   3.2662389  -9.2804261   0.8809167
  60.0000000   1.3710098  88.8318292 -13.7245130   2.7026323   1.0816840   3.2725310  -9.3038138   0.8813039
  61.0000000   1.3710829  88.8340084 -13.7058239   2.7027124   1.0794780   3.3086731  -9.2987571   0.8826756
  62.0000000   1.3711216  88.8096908 -13.6848310   2.7021355   1.0801146   3.2229731  -9.3669892   0.8796979
  63.0000000   1.3711509  88.7907849 -13.6639058   2.7017059   1.0806550   3.2035508  -9.3976160   0.8790408
  64.0000000   1.3711699  88.8003710 -13.6459354   2.7018780   1.0810982   3.1541903  -9.4292438   0.8775612
  65.0000000   1.3711701  88.8111150 -13.6257846   2.7020446   1.0808422   3.1587442  -9.4273791   0.8776188
  66.0000000   1.3711620  88.8169816 -13.6059732   2.7020389   1.0803705   3.1172147  -9.4681080   0.8760465
  67.0000000   1.3711489  88.8172093 -13.5861169   2.7019663   1.0801193   3.0978799  -9.5208459   0.8754173
  68.0000000   1.3711619  88.8238753 -13.5657994   2.7020225   1.0808922   3.0694506  -9.5296076   0.8745509
  69.0000000   1.3711737  88.8369748 -13.5466997   2.7022579   1.0800404   3.0516146  -9.5505112   0.8735917
  70.0000000   1.3711503  88.8324679 -13.5265532   2.7023427   1.0797977   2.9905974  -9.6209824   0.8717649
  71.0000000   1.3711635  88.8108195 -13.5051795   2.7019169   1.0861272   3.7329295  -8.8692391   0.8972328
  72.0000000   1.3713420  88.8929435 -13.4904173   2.7036335   1.0796698   3.8697085  -8.8193233   0.9014924
  73.0000000   1.3713639  88.8697874 -13.4734062   2.7030479   1.0803746   3.8280674  -8.8585356   0.9003107
  74.0000000   1.3713906  88.8565732 -13.4570577   2.7026869   1.0796852   3.9027812  -8.7920342   0.9022511
  75.0000000   1.3714048  88.8351753 -13.4403915   2.7020770   1.0800365   3.8306230  -8.9033744   0.8998210
  76.0000000   1.3714387  88.8248609 -13.4229786   2.7017241   1.0795788   3.8289814  -8.9083954   0.8997492
  77.0000000   1.3714418  88.8025840 -13.4053438   2.7011117   1.0798300   3.8107833  -8.9173761   0.8991235
  78.0000000   1.3714463  88.7845919 -13.3878746   2.7005704   1.0799434   3.7731064  -8.9545822   0.8979340
  79.0000000   1.3714481  88.7677157 -13.3711483   2.7000466   1.0798065   3.7624825  -8.9725878   0.8975921
  80.0000000   1.3714578  88.7540674 -13.3541430   2.6995854   1.0801128   3.7525345  -8.9777667   0.8972890
  81.0000000   1.3714677  88.7441121 -13.3376994   2.6991571   1.0795516   3.6827624  -9.0600047   0.8948853
  82.0000000   1.3714824  88.7320781 -13.3210402   2.6987581   1.0798999   3.7130297  -9.0362805   0.8959421
  83.0000000   1.3715098  88.7276858 -13.3044902   2.6984679   1.0809000   3.6964995  -9.0344105   0.8954519
  84.0000000   1.3715252  88.7287758 -13.2890309   2.6983028   1.0804318   3.7055460  -9.0372897   0.8956509
  85.0000000   1.3715346  88.7245047 -13.2742074   2.6980086   1.0806239   3.7162515  -9.0138135   0.8959321
  86.0000000   1.3715196  88.7146749 -13.2607585   2.6976006   1.0809226   3.6858157  -9.0649610   0.8950161
  87.0000000   1.3715537  88.7225648 -13.2470159   2.6975470   1.0805620   3.6805260  -9.0763484   0.8947671
  88.0000000   1.3715626  88.7201394 -13.2331010   2.6969246   1.0810055   3.6520820  -9.1014041   0.8939141
  89.0000000   1.3715756  88.7126239 -13.2314123   2.6964855   1.0795221   3.7343064  -9.0261411   0.8967733
  90.0000000   1.3715834  88.6914676 -13.2239653   2.6961192   1.0797533   3.7050475  -9.0573810   0.8958821
  91.0000000   1.3715894  88.6858152 -13.1995456   2.6961703   1.0786349   3.7542828  -8.9854867   0.8974328
  92.0000000   1.3715526  88.6599213 -13.1770552   2.6961265   1.0748741   3.4900715  -9.3336405   0.8874474
  93.0000000   1.3714664  88.5974003 -13.1527245   2.6947170   1.0768502   3.5455002  -9.2143793   0.8887994
  94.0000000   1.3713699  88.5522569 -13.1297224   2.6933115   1.0768710   3.4355931  -9.2912393   0.8853715
  95.0000000   1.3712786  88.5107067 -13.1072913   2.6919833   1.0772080   3.4168042  -9.3168316   0.8847296
  96.0000000   1.3712500  88.4923353 -13.0854171   2.6911072   1.0775726   3.3823373  -9.3601725   0.8836618
  97.0000000   1.3712515  88.4869233 -13.0630122   2.6905512   1.0778774   3.4512166  -9.2974255   0.8854323
  98.0000000   1.3712783  88.4923367 -13.0412786   2.6902082   1.0778578   3.4631983  -9.2799577   0.8857714
  99.0000000   1.3712450  88.5050634 -13.0235251   2.6900921   1.0779565   3.4603331  -9.2820536   0.8856736
 100.0000000   1.3712188  88.5223984 -13.0037306   2.6899755   1.0780200   3.4569084  -9.2817152   0.8855401
 101.0000000   1.3711951  88.5402431 -12.9836965   2.6898771   1.0780361   3.4538975  -9.2843642   0.8854248
 102.0000000   1.3711751  88.5584322 -12.9642853   2.6897972   1.0779566   3.4496898  -9.2854150   0.8852690
 103.0000000   1.3711531  88.5741618 -12.9460888   2.6896722   1.0778944   3.4452497  -9.2916894   0.8851133
 104.0000000   1.3711383  88.5919519 -12.9263561   2.6896268   1.0778897   3.4461828  -9.2900798   0.8851159
 105.0000000   1.3711205  88.6059773 -12.9092672   2.6895510   1.0777239   3.4293242  -9.3331641   0.8846140
 106.0000000   1.3711109  88.6521168 -12.8935364   2.6901829   1.0781513   3.4472342  -9.2938329   0.8852537
 107.0000000   1.3710754  88.6934259 -12.8772894   2.6906389   1.0779756   3.4470172  -9.2954003   0.8852301
 108.0000000   1.3710421  88.7309086 -12.8621239   2.6910209   1.0779649   3.4461811  -9.2884917   0.8851800
 109.0000000   1.3710069  88.7653681 -12.8482215   2.6913504   1.0777294   3.4421184  -9.2949248   0.8850257
 110.0000000   1.3709718  88.7955446 -12.8348825   2.6916039   1.0776071   3.4406036  -9.2926998   0.8849629
 111.0000000   1.3709359  88.8216802 -12.8226474   2.6917908   1.0775257   3.4404716  -9.2870415   0.8849352
 112.0000000   1.3708992  88.8452589 -12.8110447   2.6919337   1.0775436   3.4447517  -9.2664134   0.8850095
 113.0000000   1.3708574  88.8654510 -12.8005381   2.6920207   1.0775250   3.4468816  -9.2551220   0.8850551
 114.0000000   1.3708148  88.8765451 -12.7977063   2.6918723   1.0787480   3.3373769  -9.3690952   0.8818499
 115.0000000   1.3707999  88.9164245 -12.7837114   2.6924453   1.0771233   3.4486469  -9.2639591   0.8850829
 116.0000000   1.3707612  88.9350558 -12.7673498   2.6925610   1.0773472   3.4700074  -9.2095237   0.8856890
 117.0000000   1.3706776  88.9314775 -12.7607413   2.6922075   1.0771909   3.4569759  -9.2423068   0.8852686
 118.0000000   1.3706359  88.9374649 -12.7577614   2.6920312   1.0770283   3.4899897  -9.2144016   0.8858916
 119.0000000   1.3706119  88.9501579 -12.7540883   2.6918234   1.0773775   3.4619797  -9.2278083   0.8853528
 120.0000000   1.3704686  89.4267313 -12.3892692   2.6962902   1.0781073   3.5204982  -9.1363591   0.8868980
