 k a mass
   9.0850143 400.0000000   0.0000000
   9.5141842 -99.0000000   0.0000000
   9.5141842 -49.5000000   0.0000000
   9.5141842   0.0000000   0.0000000
   9.5141842 141.4213538   0.0000000
   9.5141842 400.0000000   0.0000000
   9.9499070 -99.0000000   0.0000000
   9.9499070 -49.5000000   0.0000000
   9.9499070   0.0000000   0.0000000
   9.9499070 141.4213538   0.0000000
   9.9499070 400.0000000   0.0000000
  10.3920856 -99.0000000   0.0000000
  10.3920856 -49.5000000   0.0000000
  10.3920856   0.0000000   0.0000000
  10.3920856 141.4213538   0.0000000
  10.3920856 400.0000000   0.0000000
  10.8406269 -99.0000000   0.0000000
  10.8406269 -49.5000000   0.0000000
  10.8406269   0.0000000   0.0000000
  10.8406269 141.4213538   0.0000000
  10.8406269 400.0000000   0.0000000
  11.2954421 -99.0000000   0.0000000
  11.2954421 -49.5000000   0.0000000
  11.2954421   0.0000000   0.0000000
  11.2954421 141.4213538   0.0000000
  11.2954421 400.0000000   0.0000000
  11.7564457 -99.0000000   0.0000000
  11.7564457 -49.5000000   0.0000000
  11.7564457   0.0000000   0.0000000
  11.7564457 141.4213538   0.0000000
  11.7564457 400.0000000   0.0000000
  12.2235558 -99.0000000   0.0000000
  12.2235558 -49.5000000   0.0000000
  12.2235558   0.0000000   0.0000000
  12.2235558 141.4213538   0.0000000
  12.2235558 400.0000000   0.0000000
  12.6966935 -99.0000000   0.0000000
  12.6966935 -49.5000000   0.0000000
  12.6966935   0.0000000   0.0000000
  12.6966935 141.4213538   0.0000000
  12.6966935 400.0000000   0.0000000
  13.1757830 -99.0000000   0.0000000
  13.1757830 -49.5000000   0.0000000
  13.1757830   0.0000000   0.0000000
  13.1757830 141.4213538   0.0000000
  13.1757830 400.0000000   0.0000000
  13.4831040 -99.0000000   0.0000000
  13.4831040 -49.5000000   0.0000000
  13.4831040   0.0000000   0.0431547
  13.4831040 141.4213538   0.0000000
  13.4831040 400.0000000   0.0000000
  14.1515279 -99.0000000   0.0000000
  14.1515279 -49.5000000   0.0000000
  14.1515279   0.0000000   0.0000000
  14.1515279 141.4213538   0.0000000
  14.1515279 400.0000000   0.0000000
  14.6480449 -99.0000000   0.0000000
  14.6480449 -49.5000000   0.0000000
  14.6480449   0.0000000   0.0000000
  14.6480449 141.4213538   0.0000000
  14.6480449 400.0000000   0.0000000
  15.1502367 -99.0000000   0.0000000
  15.1502367 -49.5000000   0.0000000
  15.1502367   0.0000000   0.0000000
  15.1502367 141.4213538   0.0000000
  15.1502367 400.0000000   0.0000000
  15.6580399 -99.0000000   0.0000000
  15.6580399 -49.5000000   0.0000000
  15.6580399   0.0000000   0.0000000
  15.6580399 141.4213538   0.0000000
  15.6580399 400.0000000   0.0000000
  16.1713931 -99.0000000   0.0000000
  16.1713931 -49.5000000   0.0000000
  16.1713931   0.0000000   0.0000000
  16.1713931 141.4213538   0.0000000
  16.1713931 400.0000000   0.0000000
  16.6902370 -99.0000000   0.0000000
  16.6902370 -49.5000000   0.0000000
  16.6902370   0.0000000   0.0000000
  16.6902370 141.4213538   0.0000000
  16.6902370 400.0000000   0.0000000
  17.2145141 -99.0000000   0.0000000
  17.2145141 -49.5000000   0.0000000
  17.2145141   0.0000000   0.0000000
  17.2145141 141.4213538   0.0000000
  17.2145141 400.0000000   0.0000000
  17.7441686 -99.0000000   0.0000000
  17.7441686 -49.5000000   0.0000000
  17.7441686   0.0000000   0.0000000
  17.7441686 141.4213538   0.0000000
  17.7441686 400.0000000   0.0000000
  18.2791464 -99.0000000   0.0000000
  18.2791464 -49.5000000   0.0000000
  18.2791464   0.0000000   0.0000000
  18.2791464 141.4213538   0.0000000
  18.2791464 400.0000000   0.0000000
  18.8193952 -99.0000000   0.0000000
  18.8193952 -49.5000000   0.0000000
  18.8193952   0.0000000   0.0000000
  18.8193952 141.4213538   0.0000000
  18.8193952 400.0000000   0.0000000
  19.3648640 -99.0000000   0.0000000
  19.3648640 -49.5000000   0.0000000
  19.3648640   0.0000000   0.0000000
  19.3648640 141.4213538   0.0000000
  19.3648640 400.0000000   0.0000000
  19.9155034 -99.0000000   0.0000000
  19.9155034 -49.5000000   0.0000000
  19.9155034   0.0000000   0.0000000
  19.9155034 141.4213538   0.0000000
  19.9155034 400.0000000   0.0000000
  20.4712651 -99.0000000   0.0000000
  20.4712651 -49.5000000   0.0000000
  20.4712651   0.0000000   0.0000000
  20.4712651 141.4213538   0.0000000
  20.4712651 400.0000000   0.0000000
  21.0321024 -99.0000000   0.0000000
  21.0321024 -49.5000000   0.0000000
  21.0321024   0.0000000   0.0000000
  21.0321024 141.4213538   0.0000000
  21.0321024 400.0000000   0.0000000
  21.5979699 -99.0000000   0.0000000
  21.5979699 -49.5000000   0.0000000
  21.5979699   0.0000000   0.0000000
  21.5979699 141.4213538   0.0000000
  21.5979699 400.0000000   0.0000000
  22.1688231 -99.0000000   0.0000000
  22.1688231 -49.5000000   0.0000000
  22.1688231   0.0000000   0.0000000
  22.1688231 141.4213538   0.0000000
  22.1688231 400.0000000   0.0000000
  22.7446189 -99.0000000   0.0000000
  22.7446189 -49.5000000   0.0000000
  22.7446189   0.0000000   0.0000000
  22.7446189 141.4213538   0.0000000
  22.7446189 400.0000000   0.0000000
  23.3253153 -99.0000000   0.0000000
  23.3253153 -49.5000000   0.0000000
  23.3253153   0.0000000   0.0000000
  23.3253153 141.4213538   0.0000000
  23.3253153 400.0000000   0.0000000
  23.9108712 -99.0000000   0.0000000
  23.9108712 -49.5000000   0.0000000
  23.9108712   0.0000000   0.0000000
  23.9108712 141.4213538   0.0000000
  23.9108712 400.0000000   0.0000000
  24.5012466 -99.0000000   0.0000000
  24.5012466 -49.5000000   0.0000000
  24.5012466   0.0000000   0.0046154
  24.5012466 141.4213538   0.0000000
  24.5012466 400.0000000   0.0000000
  25.0964026 -99.0000000   0.0000000
  25.0964026 -49.5000000   0.0000000
  25.0964026   0.0000000   0.0035868
  25.0964026 141.4213538   0.0000000
  25.0964026 400.0000000   0.0000000
  25.6963009 -99.0000000   0.0000000
  25.6963009 -49.5000000   0.0000000
  25.6963009   0.0000000   0.0091125
  25.6963009 141.4213538   0.0000000
  25.6963009 400.0000000   0.0000000
  26.3009044 -99.0000000   0.0000000
  26.3009044 -49.5000000   0.0000000
  26.3009044   0.0000000   0.0050209
  26.3009044 141.4213538   0.0000000
  26.3009044 400.0000000   0.0000000
  26.9101768 -99.0000000   0.0000000
  26.9101768 -49.5000000   0.0000000
  26.9101768   0.0000000   0.0000000
  26.9101768 141.4213538   0.0000000
  26.9101768 400.0000000   0.0000000
  27.5240826 -99.0000000   0.0000000
  27.5240826 -49.5000000   0.0000000
  27.5240826   0.0000000   0.0049086
  27.5240826 141.4213538   0.0000000
  27.5240826 400.0000000   0.0000000
  28.1425870 -99.0000000   0.0000000
  28.1425870 -49.5000000   0.0000000
  28.1425870   0.0000000   0.0044846
  28.1425870 141.4213538   0.0000000
  28.1425870 400.0000000   0.0000000
  28.7656561 -99.0000000   0.0000000
  28.7656561 -49.5000000   0.0000000
  28.7656561   0.0000000   0.0038157
  28.7656561 141.4213538   0.0000000
  28.7656561 400.0000000   0.0000000
  29.3932567 -99.0000000   0.0000000
  29.3932567 -49.5000000   0.0000000
  29.3932567   0.0000000   0.0000000
  29.3932567 141.4213538   0.0000000
  29.3932567 400.0000000   0.0000000
  30.0253564 -99.0000000   0.0000000
  30.0253564 -49.5000000   0.0000000
  30.0253564   0.0000000   0.0030072
  30.0253564 141.4213538   0.0000000
  30.0253564 400.0000000   0.0000000
  30.6619233 -99.0000000   0.0000000
  30.6619233 -49.5000000   0.0000000
  30.6619233   0.0000000   0.0000000
  30.6619233 141.4213538   0.0000000
  30.6619233 400.0000000   0.0000000
  31.3029262 -99.0000000   0.0000000
  31.3029262 -49.5000000   0.0000000
  31.3029262   0.0000000   0.0021742
  31.3029262 141.4213538   0.0000000
  31.3029262 400.0000000   0.0000000
  31.9483348 -99.0000000   0.0000000
  31.9483348 -49.5000000   0.0000000
  31.9483348   0.0000000   0.0003347
  31.9483348 141.4213538   0.0000000
  31.9483348 400.0000000   0.0000000
  32.5981192 -99.0000000   0.0000000
  32.5981192 -49.5000000   0.0000000
  32.5981192   0.0000000   0.0015925
  32.5981192 141.4213538   0.0000000
  32.5981192 400.0000000   0.0000000
  33.2522499 -99.0000000   0.0000000
  33.2522499 -49.5000000   0.0000000
  33.2522499   0.0000000   0.0002717
  33.2522499 141.4213538   0.0000000
  33.2522499 400.0000000   0.0000000
  33.9106985 -99.0000000   0.0000000
  33.9106985 -49.5000000   0.0000000
  33.9106985   0.0000000   0.0010843
  33.9106985 141.4213538   0.0000000
  33.9106985 400.0000000   0.0000000
  34.5734367 -99.0000000   0.0000000
  34.5734367 -49.5000000   0.0000000
  34.5734367   0.0000000   0.0000000
  34.5734367 141.4213538   0.0000000
  34.5734367 400.0000000   0.0000000
  35.2404370 -99.0000000   0.0000000
  35.2404370 -49.5000000   0.0000000
  35.2404370   0.0000000   0.0000198
  35.2404370 141.4213538   0.0000000
  35.2404370 400.0000000   0.0000000
  35.9116722 -99.0000000   0.0000000
  35.9116722 -49.5000000   0.0000000
  35.9116722   0.0000000   0.0000045
  35.9116722 141.4213538   0.0000000
  35.9116722 400.0000000   0.0000000
  36.5871159 -99.0000000   0.0000000
  36.5871159 -49.5000000   0.0000000
  36.5871159   0.0000000   0.0005922
  36.5871159 141.4213538   0.0000000
  36.5871159 400.0000000   0.0000000
  37.2667420 -99.0000000   0.0000000
  37.2667420 -49.5000000   0.0000000
  37.2667420   0.0000000   0.0000000
  37.2667420 141.4213538   0.0000000
  37.2667420 400.0000000   0.0000000
  37.9505248 -99.0000000   0.0000000
  37.9505248 -49.5000000   0.0000000
  37.9505248   0.0000000   0.0003817
  37.9505248 141.4213538   0.0000000
  37.9505248 400.0000000   0.0000000
  38.6384394 -99.0000000   0.0000000
  38.6384394 -49.5000000   0.0000000
  38.6384394   0.0000000   0.0000000
  38.6384394 141.4213538   0.0000000
  38.6384394 400.0000000   0.0000000
  39.3304610 -99.0000000   0.0000000
  39.3304610 -49.5000000   0.0000000
  39.3304610   0.0000000   0.0006519
  39.3304610 141.4213538   0.0000000
  39.3304610 400.0000000   0.0000000
  40.0265653 -99.0000000   0.0000000
  40.0265653 -49.5000000   0.0000000
  40.0265653   0.0000000   0.0000000
  40.0265653 141.4213538   0.0000000
  40.0265653 400.0000000   0.0000000
  40.7267286 -99.0000000   0.0000000
  40.7267286 -49.5000000   0.0000000
  40.7267286   0.0000000   0.0007941
  40.7267286 141.4213538   0.0000000
  40.7267286 400.0000000   0.0000000
  41.4309275 -99.0000000   0.0000000
  41.4309275 -49.5000000   0.0000000
  41.4309275   0.0000000   0.0008868
  41.4309275 141.4213538   0.0000000
  41.4309275 400.0000000   0.0000000
  42.1391390 -99.0000000   0.0000000
  42.1391390 -49.5000000   0.0000000
  42.1391390   0.0000000   0.0011852
  42.1391390 141.4213538   0.0000000
  42.1391390 400.0000000   0.0000000
  42.8513405 -99.0000000   0.0000000
  42.8513405 -49.5000000   0.0000000
  42.8513405   0.0000000   0.0010162
  42.8513405 141.4213538   0.0000000
  42.8513405 400.0000000   0.0000000
  43.5675097 -99.0000000   0.0000000
  43.5675097 -49.5000000   0.0000000
  43.5675097   0.0000000   0.0013078
  43.5675097 141.4213538   0.0000000
  43.5675097 400.0000000   0.0000000
  44.2876248 -99.0000000   0.0000000
  44.2876248 -49.5000000   0.0000000
  44.2876248   0.0000000   0.0017038
  44.2876248 141.4213538   0.0000000
  44.2876248 400.0000000   0.0000000
  45.0116642 -99.0000000   0.0000000
  45.0116642 -49.5000000   0.0000000
  45.0116642   0.0000000   0.0013132
  45.0116642 141.4213538   0.0000000
  45.0116642 400.0000000   0.0000000
  45.7396069 -99.0000000   0.0000000
  45.7396069 -49.5000000   0.0000000
  45.7396069   0.0000000   0.0020629
  45.7396069 141.4213538   0.0000000
  45.7396069 400.0000000   0.0000000
  46.4714320 -99.0000000   0.0000000
  46.4714320 -49.5000000   0.0000000
  46.4714320   0.0000000   0.0017853
  46.4714320 141.4213538   0.0000000
  46.4714320 400.0000000   0.0000000
  47.2071191 -99.0000000   0.0000000
  47.2071191 -49.5000000   0.0000000
  47.2071191   0.0000000   0.0017525
  47.2071191 141.4213538   0.0000000
  47.2071191 400.0000000   0.0000000
  47.9466478 -99.0000000   0.0000000
  47.9466478 -49.5000000   0.0000000
  47.9466478   0.0000000   0.0009083
  47.9466478 141.4213538   0.0000000
  47.9466478 400.0000000   0.0000000
  48.6899985 -99.0000000   0.0000000
  48.6899985 -49.5000000   0.0000000
  48.6899985   0.0000000   0.0022963
  48.6899985 141.4213538   0.0000000
  48.6899985 400.0000000   0.0000000
  49.4371515 -99.0000000   0.0000000
  49.4371515 -49.5000000   0.0000000
  49.4371515   0.0000000   0.0012525
  49.4371515 141.4213538   0.0000000
  49.4371515 400.0000000   0.0000000
  50.1880877 -99.0000000   0.0000000
  50.1880877 -49.5000000   0.0000000
  50.1880877   0.0000000   0.0018719
  50.1880877 141.4213538   0.0000000
  50.1880877 400.0000000   0.0000000
  50.9427879 -99.0000000   0.0000000
  50.9427879 -49.5000000   0.0000000
  50.9427879   0.0000000   0.0010209
  50.9427879 141.4213538   0.0000000
  50.9427879 400.0000000   0.0000000
  51.7012336 -99.0000000   0.0000000
  51.7012336 -49.5000000   0.0000000
  51.7012336   0.0000000   0.0018019
  51.7012336 141.4213538   0.0000000
  51.7012336 400.0000000   0.0000000
  52.4634063 -99.0000000   0.0000000
  52.4634063 -49.5000000   0.0000000
  52.4634063   0.0000000   0.0013417
  52.4634063 141.4213538   0.0000000
  52.4634063 400.0000000   0.0000000
  53.2292880 -99.0000000   0.0000000
  53.2292880 -49.5000000   0.0000000
  53.2292880   0.0000000   0.0012348
  53.2292880 141.4213538   0.0000000
  53.2292880 400.0000000   0.0000000
  53.9988606 -99.0000000   0.0000000
  53.9988606 -49.5000000   0.0000000
  53.9988606   0.0000000   0.0010739
  53.9988606 141.4213538   0.0000000
  53.9988606 400.0000000   0.0000000
  54.7721067 -99.0000000   0.0000000
  54.7721067 -49.5000000   0.0000000
  54.7721067   0.0000000   0.0010998
  54.7721067 141.4213538   0.0000000
  54.7721067 400.0000000   0.0000000
  55.5490089 -99.0000000   0.0000000
  55.5490089 -49.5000000   0.0000000
  55.5490089   0.0000000   0.0016391
  55.5490089 141.4213538   0.0000000
  55.5490089 400.0000000   0.0000000
  56.3295499 -99.0000000   0.0000000
  56.3295499 -49.5000000   0.0000000
  56.3295499   0.0000000   0.0001528
  56.3295499 141.4213538   0.0000000
  56.3295499 400.0000000   0.0000000
  57.1137130 -99.0000000   0.0000000
  57.1137130 -49.5000000   0.0000000
  57.1137130   0.0000000   0.0016833
  57.1137130 141.4213538   0.0000000
  57.1137130 400.0000000   0.0000000
  57.9014814 -99.0000000   0.0000000
  57.9014814 -49.5000000   0.0000000
  57.9014814   0.0000000   0.0009562
  57.9014814 141.4213538   0.0000000
  57.9014814 400.0000000   0.0000000
  58.6928389 -99.0000000   0.0000000
  58.6928389 -49.5000000   0.0000000
  58.6928389   0.0000000   0.0002083
  58.6928389 141.4213538   0.0000000
  58.6928389 400.0000000   0.0000000
  59.4877690 -99.0000000   0.0000000
  59.4877690 -49.5000000   0.0000000
  59.4877690   0.0000000   0.0018538
  59.4877690 141.4213538   0.0000000
  59.4877690 400.0000000   0.0000000
  60.2862559 -99.0000000   0.0000000
  60.2862559 -49.5000000   0.0000000
  60.2862559   0.0000000   0.0006386
  60.2862559 141.4213538   0.0000000
  60.2862559 400.0000000   0.0000000
  61.0882839 -99.0000000   0.0000000
  61.0882839 -49.5000000   0.0000000
  61.0882839   0.0000000   0.0003533
  61.0882839 141.4213538   0.0000000
  61.0882839 400.0000000   0.0000000
  61.8938372 -99.0000000   0.0000000
  61.8938372 -49.5000000   0.0000000
  61.8938372   0.0000000   0.0019219
  61.8938372 141.4213538   0.0000000
  61.8938372 400.0000000   0.0000000
  62.7029006 -99.0000000   0.0000000
  62.7029006 -49.5000000   0.0000000
  62.7029006   0.0000000   0.0003928
  62.7029006 141.4213538   0.0000000
  62.7029006 400.0000000   0.0000000
  63.5154589 -99.0000000   0.0000000
  63.5154589 -49.5000000   0.0000000
  63.5154589   0.0000000   0.0009763
  63.5154589 141.4213538   0.0000000
  63.5154589 400.0000000   0.0000000
