 t avg_prod_f avg_k_f avg_a_f avg_l_f avg_prod_ex avg_k_ex avg_a_ex avg_l_ex
  34.0000000   1.4567111  94.5536230 -17.3470527   2.8481293   1.0112360  12.5654556 -24.2041257   1.0776099
  35.0000000   1.4568141  94.5331260 -17.3023565   2.8479299   1.0115712  12.5961444 -24.1999771   1.0785253
  36.0000000   1.4569097  94.5167682 -17.2579454   2.8477710   1.0100664  12.6943183 -24.2984800   1.0805548
  37.0000000   1.4569614  94.4841357 -17.2133414   2.8471543   1.0129017  12.4569137 -24.2659821   1.0742050
  38.0000000   1.4570288  94.4748321 -17.1714754   2.8470955   1.0123013  12.5115210 -24.2855744   1.0754962
  39.0000000   1.4570885  94.4624458 -17.1286924   2.8469219   1.0123666  12.4601526 -24.2913039   1.0741665
  40.0000000   1.4571588  94.4552827 -17.0875069   2.8468319   1.0123066  12.4652849 -24.3455864   1.0740922
  41.0000000   1.4572191  94.4481208 -17.0468406   2.8467494   1.0121877  12.5185261 -24.3026392   1.0749736
  42.0000000   1.4573071  94.4485258 -17.0070902   2.8467715   1.0123149  12.5422915 -24.3348587   1.0754546
  43.0000000   1.4573577  94.4438642 -16.9674241   2.8466569   1.0124663  12.5238414 -24.3509724   1.0750211
  44.0000000   1.4573987  94.4395967 -16.9289116   2.8465596   1.0123805  12.5424822 -24.4668763   1.0750410
  45.0000000   1.4574419  94.4375174 -16.8911367   2.8465178   1.0129326  12.5904750 -24.4281354   1.0762593
  46.0000000   1.4574877  94.4397157 -16.8554773   2.8465087   1.0127564  12.5940522 -24.4761422   1.0762794
  47.0000000   1.4575195  94.4407567 -16.8186720   2.8464520   1.0128818  12.6248729 -24.5142898   1.0768808
  48.0000000   1.4575484  94.4428441 -16.7821415   2.8464103   1.0127329  12.6463635 -24.5339964   1.0773951
  49.0000000   1.4575622  94.4406239 -16.7480057   2.8462681   1.0126712  12.6275039 -24.5428372   1.0770029
  50.0000000   1.4575861  94.4433301 -16.7130300   2.8462662   1.0128277  12.6272455 -24.5303700   1.0770316
  51.0000000   1.4575944  94.4443232 -16.6818743   2.8461509   1.0143818  12.6720844 -24.4909133   1.0789403
  52.0000000   1.4576187  94.4588275 -16.6516588   2.8463091   1.0129237  12.7294529 -24.5902431   1.0801850
  53.0000000   1.4576190  94.4603841 -16.6212144   2.8461826   1.0129703  12.7284510 -24.5768110   1.0800974
  54.0000000   1.4576222  94.4636690 -16.5918209   2.8460834   1.0130749  12.7196522 -24.5857736   1.0799016
  55.0000000   1.4576200  94.4673942 -16.5626324   2.8459906   1.0130781  12.7177462 -24.5787680   1.0798165
  56.0000000   1.4576211  94.4715892 -16.5351307   2.8458911   1.0133094  12.6814391 -24.5895085   1.0790109
  57.0000000   1.4576201  94.4783470 -16.5086027   2.8459218   1.0134155  12.6590575 -24.6133271   1.0785297
  58.0000000   1.4575301  94.5372088 -16.4914636   2.8468534   1.0137460  12.6766198 -24.5414855   1.0791524
  59.0000000   1.4574498  94.5948933 -16.4785024   2.8477227   1.0136697  12.6824047 -24.5281999   1.0793499
  60.0000000   1.4573816  94.6502099 -16.4680697   2.8485208   1.0134432  12.6668516 -24.5526648   1.0787687
  61.0000000   1.4573124  94.7015946 -16.4588679   2.8493149   1.0126403  12.6578156 -24.6457456   1.0782055
  62.0000000   1.4572337  94.7486619 -16.4466421   2.8499697   1.0122820  12.6464452 -24.6969691   1.0776868
  63.0000000   1.4571540  94.7918828 -16.4341406   2.8505493   1.0118217  12.6546569 -24.7146479   1.0777368
  64.0000000   1.4570740  94.8318541 -16.4208629   2.8510669   1.0115319  12.6499325 -24.7329592   1.0774999
  65.0000000   1.4569991  94.8688895 -16.4097922   2.8515266   1.0113115  12.6485211 -24.7408530   1.0773499
  66.0000000   1.4569257  94.9057806 -16.3980770   2.8519699   1.0112489  12.6606625 -24.7730324   1.0775301
  67.0000000   1.4568387  94.9363866 -16.3869814   2.8523379   1.0109716  12.6474746 -24.7817039   1.0771661
  68.0000000   1.4567662  94.9682763 -16.3744618   2.8527029   1.0108184  12.6449674 -24.7871187   1.0770458
  69.0000000   1.4566966  94.9985628 -16.3620076   2.8530340   1.0106777  12.6432881 -24.7863122   1.0769422
  70.0000000   1.4566302  95.0268702 -16.3514527   2.8533265   1.0105666  12.6415664 -24.8026768   1.0768544
  71.0000000   1.4565662  95.0552560 -16.3391579   2.8536309   1.0105426  12.6480139 -24.7919764   1.0769610
  72.0000000   1.4564955  95.0802057 -16.3279927   2.8538637   1.0103971  12.6390817 -24.7851240   1.0767432
  73.0000000   1.4564345  95.1048950 -16.3176171   2.8540945   1.0104330  12.6217938 -24.6930803   1.0765740
  74.0000000   1.4563698  95.1276254 -16.3081683   2.8542976   1.0102651  12.6180302 -24.6861784   1.0764479
  75.0000000   1.4563138  95.1504702 -16.2995764   2.8544969   1.0102200  12.6190340 -24.6949740   1.0764296
  76.0000000   1.4562596  95.1717572 -16.2916571   2.8546844   1.0101705  12.6192814 -24.6916336   1.0764023
  77.0000000   1.4562080  95.1917736 -16.2845470   2.8548753   1.0101309  12.6197940 -24.6874699   1.0763873
  78.0000000   1.4561586  95.2136542 -16.2754426   2.8550710   1.0101590  12.6230846 -24.6542200   1.0764464
  79.0000000   1.4561066  95.2344899 -16.2681038   2.8552409   1.0101577  12.6255556 -24.6471942   1.0764816
  80.0000000   1.4560542  95.2544826 -16.2606189   2.8554222   1.0101475  12.6262835 -24.6166597   1.0764932
  81.0000000   1.4560024  95.2736899 -16.2543749   2.8555716   1.0101206  12.6268949 -24.5986329   1.0764927
  82.0000000   1.4559524  95.2918743 -16.2489085   2.8557049   1.0105800  12.6452940 -24.5257542   1.0772643
  83.0000000   1.4559158  95.3137173 -16.2444809   2.8559038   1.0103658  12.6357300 -24.5488805   1.0768647
  84.0000000   1.4558726  95.3333386 -16.2397022   2.8560537   1.0103137  12.6373558 -24.5547396   1.0768182
  85.0000000   1.4558292  95.3511923 -16.2354792   2.8561785   1.0108408  12.6624197 -24.4758562   1.0777585
  86.0000000   1.4557946  95.3719133 -16.2331699   2.8563531   1.0108356  12.6612038 -24.4690592   1.0777000
  87.0000000   1.4557608  95.3922183 -16.2310476   2.8565242   1.0107153  12.6701548 -24.4641673   1.0778621
  88.0000000   1.4557233  95.4099326 -16.2296496   2.8566517   1.0106857  12.6634118 -24.4621613   1.0776505
  89.0000000   1.4556847  95.4265128 -16.2282766   2.8567601   1.0106063  12.6650046 -24.4516417   1.0776096
  90.0000000   1.4556446  95.4430685 -16.2268528   2.8568845   1.0100333  12.6493900 -24.5229711   1.0767578
  91.0000000   1.4555916  95.4547869 -16.2235979   2.8569054   1.0099553  12.6559623 -24.4929083   1.0768225
  92.0000000   1.4555415  95.4652951 -16.2218763   2.8569072   1.0100317  12.6539478 -24.4716073   1.0767209
  93.0000000   1.4554962  95.4766232 -16.2203951   2.8569288   1.0100136  12.6591214 -24.4514349   1.0768200
  94.0000000   1.4554557  95.4879564 -16.2193660   2.8569488   1.0100551  12.6618686 -24.4296296   1.0768594
  95.0000000   1.4554178  95.4996648 -16.2183872   2.8569822   1.0100635  12.6654804 -24.4148140   1.0769050
  96.0000000   1.4553824  95.5116962 -16.2183209   2.8570181   1.0100717  12.6687106 -24.4185810   1.0769297
  97.0000000   1.4553473  95.5226815 -16.2186921   2.8570549   1.0100766  12.6708445 -24.4067355   1.0769460
  98.0000000   1.4553142  95.5336899 -16.2192348   2.8570900   1.0100648  12.6721971 -24.3923409   1.0769523
  99.0000000   1.4552825  95.5446781 -16.2199000   2.8571540   1.0100525  12.6739128 -24.3850097   1.0769591
 100.0000000   1.4552531  95.5562538 -16.2201396   2.8572193   1.0100692  12.6770276 -24.3687576   1.0770014
 101.0000000   1.4552236  95.5663171 -16.2225226   2.8572997   1.0100655  12.6781833 -24.3602000   1.0770167
 102.0000000   1.4551953  95.5812063 -16.2198834   2.8574186   1.0100773  12.6805006 -24.3416823   1.0770488
 103.0000000   1.4551671  95.5958430 -16.2182491   2.8575312   1.0101075  12.6835875 -24.3283318   1.0771120
